"filename", "language", "Dart", "comment", "blank", "total"
"/home/onefore/projects/flutter-projects/clean_architecture/lib/presentation/pages/course/view/course_page.dart", "Dart", 32, 0, 4, 36
"/home/onefore/projects/flutter-projects/clean_architecture/lib/presentation/pages/course/view/course_tab.dart", "Dart", 33, 0, 4, 37
"/home/onefore/projects/flutter-projects/clean_architecture/lib/presentation/pages/courses/view/courses_form.dart", "Dart", 33, 0, 3, 36
"/home/onefore/projects/flutter-projects/clean_architecture/lib/presentation/pages/courses/view/courses_page.dart", "Dart", 17, 0, 3, 20
"/home/onefore/projects/flutter-projects/clean_architecture/lib/presentation/pages/courses/widgets/courses_list_view.dart", "Dart", 70, 0, 5, 75
"/home/onefore/projects/flutter-projects/clean_architecture/lib/presentation/pages/courses/widgets/falure_widget.dart", "Dart", 14, 0, 3, 17
"/home/onefore/projects/flutter-projects/clean_architecture/lib/presentation/pages/nested/view/info_page.dart", "Dart", 13, 0, 3, 16
"/home/onefore/projects/flutter-projects/clean_architecture/lib/presentation/pages/nested/view/lab_page.dart", "Dart", 11, 0, 2, 13
"/home/onefore/projects/flutter-projects/clean_architecture/lib/presentation/pages/nested/view/nested_page.dart", "Dart", 52, 0, 6, 58
"/home/onefore/projects/flutter-projects/clean_architecture/lib/presentation/pages/nested/view/test_page.dart", "Dart", 11, 0, 2, 13
"/home/onefore/projects/flutter-projects/clean_architecture/lib/presentation/pages/sign_in/view/sign_in_form.dart", "Dart", 42, 0, 7, 49
"/home/onefore/projects/flutter-projects/clean_architecture/lib/presentation/pages/sign_in/view/sign_in_page.dart", "Dart", 32, 0, 5, 37
"/home/onefore/projects/flutter-projects/clean_architecture/lib/presentation/pages/sign_in/widget/submit_button.dart", "Dart", 38, 0, 6, 44
"/home/onefore/projects/flutter-projects/clean_architecture/lib/presentation/widgets/bottom_bar.dart", "Dart", 37, 0, 6, 43
"/home/onefore/projects/flutter-projects/clean_architecture/lib/presentation/widgets/splash_screen.dart", "Dart", 11, 0, 4, 15
"Total", "-", 1841, 0, 316, 2157
