"filename", "language", "Dart", "comment", "blank", "total"
"/home/onefore/projects/flutter-projects/clean_architecture/lib/data/repository/courses_repository.dart", "Dart", 25, 0, 2, 27
"/home/onefore/projects/flutter-projects/clean_architecture/lib/domain/model/nested.dart", "Dart", 30, 0, 0, 30
"/home/onefore/projects/flutter-projects/clean_architecture/lib/presentation/pages/nested/view/info_page.dart", "Dart", 25, 0, 0, 25
"/home/onefore/projects/flutter-projects/clean_architecture/lib/presentation/pages/nested/view/lab_page.dart", "Dart", 23, 0, 1, 24
"/home/onefore/projects/flutter-projects/clean_architecture/lib/presentation/pages/nested/view/nested_page.dart", "Dart", 2, 0, 0, 2
"/home/onefore/projects/flutter-projects/clean_architecture/lib/presentation/pages/nested/view/test_page.dart", "Dart", 31, 0, 1, 32
"Total", "-", 136, 0, 4, 140
